position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,profit_sum,net_sum,strategy_id,account_type,sample_type,commission_sum,volume_in,volume_out,account_group,base_lot_detected,source_file,base_lot,target_lot,lot_scale_factor,scaled_profit_sum,scaled_commission_sum,scaled_net_sum,scaled_volume_in,scaled_volume_out,scaled_cumulative_net_sum
604,EURGBP,SELL,2024-07-02 20:15:00+00:00,2024-07-02 23:45:00+00:00,0.84724,0.84711,1.15,1.15,5.21.111,DEMO,OOS,0.0,0.1,0.1,DEMO_ACCOUNT,0.1,C:\Users\Leon\Desktop\QUANT\Data_Center\Data\2_Baseline\Trades\Backtest\DEMO_ACCOUNT\OOS\listOfTrades_EURGBP_10_5.21.111_SELL_M15_OOS.csv,0.1,7.7,77.0,88.55,0.0,88.55,7.7,7.7,88.55
606,EURGBP,SELL,2024-07-05 01:45:00+00:00,2024-07-05 23:45:00+00:00,0.84744,0.84577,20.9,20.9,5.21.111,DEMO,OOS,0.0,0.1,0.1,DEMO_ACCOUNT,0.1,C:\Users\Leon\Desktop\QUANT\Data_Center\Data\2_Baseline\Trades\Backtest\DEMO_ACCOUNT\OOS\listOfTrades_EURGBP_10_5.21.111_SELL_M15_OOS.csv,0.1,7.7,77.0,1609.3,0.0,1609.3,7.7,7.7,1697.85
608,EURGBP,SELL,2024-07-08 05:15:00+00:00,2024-07-08 23:45:00+00:00,0.8453,0.84517,1.17,1.17,5.21.111,DEMO,OOS,0.0,0.1,0.1,DEMO_ACCOUNT,0.1,C:\Users\Leon\Desktop\QUANT\Data_Center\Data\2_Baseline\Trades\Backtest\DEMO_ACCOUNT\OOS\listOfTrades_EURGBP_10_5.21.111_SELL_M15_OOS.csv,0.1,7.7,77.0,90.08999999999999,0.0,90.08999999999999,7.7,7.7,1787.9399999999998
610,EURGBP,SELL,2024-07-09 02:15:00+00:00,2024-07-09 23:45:00+00:00,0.84519,0.84566,-6.51,-6.51,5.21.111,DEMO,OOS,0.0,0.1,0.1,DEMO_ACCOUNT,0.1,C:\Users\Leon\Desktop\QUANT\Data_Center\Data\2_Baseline\Trades\Backtest\DEMO_ACCOUNT\OOS\listOfTrades_EURGBP_10_5.21.111_SELL_M15_OOS.csv,0.1,7.7,77.0,-501.27,0.0,-501.27,7.7,7.7,1286.6699999999998
612,EURGBP,SELL,2024-07-15 06:45:30+00:00,2024-07-15 23:45:00+00:00,0.83975,0.84035,-8.28,-8.28,5.21.111,DEMO,OOS,0.0,0.1,0.1,DEMO_ACCOUNT,0.1,C:\Users\Leon\Desktop\QUANT\Data_Center\Data\2_Baseline\Trades\Backtest\DEMO_ACCOUNT\OOS\listOfTrades_EURGBP_10_5.21.111_SELL_M15_OOS.csv,0.1,7.7,77.0,-637.56,0.0,-637.56,7.7,7.7,649.1099999999999
614,EURGBP,SELL,2024-07-19 20:00:00+00:00,2024-07-19 23:45:00+00:00,0.84283,0.84294,-1.92,-1.92,5.21.111,DEMO,OOS,0.0,0.1,0.1,DEMO_ACCOUNT,0.1,C:\Users\Leon\Desktop\QUANT\Data_Center\Data\2_Baseline\Trades\Backtest\DEMO_ACCOUNT\OOS\listOfTrades_EURGBP_10_5.21.111_SELL_M15_OOS.csv,0.1,7.7,77.0,-147.84,0.0,-147.84,7.7,7.7,501.26999999999987
616,EURGBP,SELL,2024-07-23 21:15:00+00:00,2024-07-23 23:45:00+00:00,0.84096,0.84097,-0.63,-0.63,5.21.111,DEMO,OOS,0.0,0.1,0.1,DEMO_ACCOUNT,0.1,C:\Users\Leon\Desktop\QUANT\Data_Center\Data\2_Baseline\Trades\Backtest\DEMO_ACCOUNT\OOS\listOfTrades_EURGBP_10_5.21.111_SELL_M15_OOS.csv,0.1,7.7,77.0,-48.51,0.0,-48.51,7.7,7.7,452.7599999999999
618,EURGBP,SELL,2024-07-24 17:30:00+00:00,2024-07-24 23:45:30+00:00,0.84037,0.83986,6.08,6.08,5.21.111,DEMO,OOS,0.0,0.1,0.1,DEMO_ACCOUNT,0.1,C:\Users\Leon\Desktop\QUANT\Data_Center\Data\2_Baseline\Trades\Backtest\DEMO_ACCOUNT\OOS\listOfTrades_EURGBP_10_5.21.111_SELL_M15_OOS.csv,0.1,7.7,77.0,468.16,0.0,468.16,7.7,7.7,920.9199999999998
620,EURGBP,SELL,2024-07-25 18:00:00+00:00,2024-07-25 23:45:00+00:00,0.84295,0.844,-13.99,-13.99,5.21.111,DEMO,OOS,0.0,0.1,0.1,DEMO_ACCOUNT,0.1,C:\Users\Leon\Desktop\QUANT\Data_Center\Data\2_Baseline\Trades\Backtest\DEMO_ACCOUNT\OOS\listOfTrades_EURGBP_10_5.21.111_SELL_M15_OOS.csv,0.1,7.7,77.0,-1077.23,0.0,-1077.23,7.7,7.7,-156.31000000000017
622,EURGBP,SELL,2024-07-26 01:45:00+00:00,2024-07-26 23:45:00+00:00,0.8439,0.8435,4.65,4.65,5.21.111,DEMO,OOS,0.0,0.1,0.1,DEMO_ACCOUNT,0.1,C:\Users\Leon\Desktop\QUANT\Data_Center\Data\2_Baseline\Trades\Backtest\DEMO_ACCOUNT\OOS\listOfTrades_EURGBP_10_5.21.111_SELL_M15_OOS.csv,0.1,7.7,77.0,358.05,0.0,358.05,7.7,7.7,201.73999999999984
