position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,profit_sum,net_sum,strategy_id,account_type,sample_type
2,EURUSD,SELL,2021-07-06 06:00:00+00:00,2021-07-06 23:45:00+00:00,1.18717,1.18298,41.4,41.4,6.6.111,DEMO_ACCOUNT,IS
4,EURUSD,SELL,2021-07-07 08:45:00+00:00,2021-07-07 21:01:40+00:00,1.18339,1.18117,21.7,21.7,6.6.111,DEMO_ACCOUNT,IS
6,EURUSD,SELL,2021-07-08 08:45:00+00:00,2021-07-08 10:56:40+00:00,1.18019,1.18218,-20.4,-20.4,6.6.111,DEMO_ACCOUNT,IS
8,EURUSD,SELL,2021-07-09 13:00:00+00:00,2021-07-09 23:45:00+00:00,1.18553,1.18836,-28.8,-28.8,6.6.111,DEMO_ACCOUNT,IS
10,EURUSD,SELL,2021-07-13 03:15:00+00:00,2021-07-13 16:48:40+00:00,1.18672,1.18204,46.3,46.3,6.6.111,DEMO_ACCOUNT,IS
12,EURUSD,SELL,2021-07-14 08:45:00+00:00,2021-07-14 23:45:00+00:00,1.17878,1.18431,-55.8,-55.8,6.6.111,DEMO_ACCOUNT,IS
14,EURUSD,SELL,2021-07-27 15:00:00+00:00,2021-07-27 23:45:00+00:00,1.17988,1.18226,-24.3,-24.3,6.6.111,DEMO_ACCOUNT,IS
16,EURUSD,SELL,2021-07-28 06:15:00+00:00,2021-07-28 11:54:40+00:00,1.18275,1.18265,0.5,0.5,6.6.111,DEMO_ACCOUNT,IS
18,EURUSD,SELL,2021-07-29 05:45:00+00:00,2021-07-29 23:45:00+00:00,1.1855,1.18902,-35.7,-35.7,6.6.111,DEMO_ACCOUNT,IS
20,EURUSD,SELL,2021-07-30 02:15:00+00:00,2021-07-30 10:29:40+00:00,1.18939,1.18989,-5.5,-5.5,6.6.111,DEMO_ACCOUNT,IS
22,EURUSD,SELL,2021-08-02 10:00:00+00:00,2021-08-02 23:45:00+00:00,1.18829,1.18768,5.6,5.6,6.6.111,DEMO_ACCOUNT,IS
24,EURUSD,SELL,2021-08-03 08:00:00+00:00,2021-08-03 13:46:40+00:00,1.18804,1.18955,-15.6,-15.6,6.6.111,DEMO_ACCOUNT,IS
26,EURUSD,SELL,2021-08-04 06:00:00+00:00,2021-08-04 14:46:40+00:00,1.18736,1.18698,3.3,3.3,6.6.111,DEMO_ACCOUNT,IS
