position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,profit_sum,net_sum,strategy_id,account_type,sample_type,commission_sum,volume_in,volume_out,account_group,base_lot_detected,source_file,base_lot,target_lot,lot_scale_factor,scaled_profit_sum,scaled_commission_sum,scaled_net_sum,scaled_volume_in,scaled_volume_out,scaled_cumulative_net_sum
958,GBPUSD,SELL,2024-07-03 13:45:00+00:00,2024-07-03 15:15:40+00:00,1.27053,1.27084,-3.6,-3.6,3.13.113,DEMO,OOS,0.0,0.1,0.1,DEMO_ACCOUNT,0.1,C:\Users\Leon\Desktop\QUANT\Data_Center\Data\2_Baseline\Trades\Backtest\DEMO_ACCOUNT\OOS\listOfTrades_GBPUSD_69_3.13.113_BUY_M15_OOS.csv,0.1,8.3,83.0,-298.8,0.0,-298.8,8.3,8.3,-298.8
960,GBPUSD,SELL,2024-07-04 01:15:30+00:00,2024-07-04 10:00:40+00:00,1.27448,1.27522,-7.9,-7.9,3.13.113,DEMO,OOS,0.0,0.1,0.1,DEMO_ACCOUNT,0.1,C:\Users\Leon\Desktop\QUANT\Data_Center\Data\2_Baseline\Trades\Backtest\DEMO_ACCOUNT\OOS\listOfTrades_GBPUSD_69_3.13.113_BUY_M15_OOS.csv,0.1,8.3,83.0,-655.7,0.0,-655.7,8.3,8.3,-954.5
962,GBPUSD,SELL,2024-07-05 03:45:00+00:00,2024-07-05 07:07:20+00:00,1.27653,1.27724,-7.6,-7.6,3.13.113,DEMO,OOS,0.0,0.1,0.1,DEMO_ACCOUNT,0.1,C:\Users\Leon\Desktop\QUANT\Data_Center\Data\2_Baseline\Trades\Backtest\DEMO_ACCOUNT\OOS\listOfTrades_GBPUSD_69_3.13.113_BUY_M15_OOS.csv,0.1,8.3,83.0,-630.8,0.0,-630.8,8.3,8.3,-1585.3
964,GBPUSD,SELL,2024-07-08 06:30:00+00:00,2024-07-08 09:31:20+00:00,1.28158,1.28033,12.0,12.0,3.13.113,DEMO,OOS,0.0,0.1,0.1,DEMO_ACCOUNT,0.1,C:\Users\Leon\Desktop\QUANT\Data_Center\Data\2_Baseline\Trades\Backtest\DEMO_ACCOUNT\OOS\listOfTrades_GBPUSD_69_3.13.113_BUY_M15_OOS.csv,0.1,8.3,83.0,996.0,0.0,996.0,8.3,8.3,-589.3
966,GBPUSD,SELL,2024-07-09 02:15:00+00:00,2024-07-09 04:48:40+00:00,1.28108,1.28014,8.9,8.9,3.13.113,DEMO,OOS,0.0,0.1,0.1,DEMO_ACCOUNT,0.1,C:\Users\Leon\Desktop\QUANT\Data_Center\Data\2_Baseline\Trades\Backtest\DEMO_ACCOUNT\OOS\listOfTrades_GBPUSD_69_3.13.113_BUY_M15_OOS.csv,0.1,8.3,83.0,738.7,0.0,738.7,8.3,8.3,149.4000000000001
968,GBPUSD,SELL,2024-07-11 02:15:00+00:00,2024-07-11 05:10:40+00:00,1.28528,1.28607,-8.4,-8.4,3.13.113,DEMO,OOS,0.0,0.1,0.1,DEMO_ACCOUNT,0.1,C:\Users\Leon\Desktop\QUANT\Data_Center\Data\2_Baseline\Trades\Backtest\DEMO_ACCOUNT\OOS\listOfTrades_GBPUSD_69_3.13.113_BUY_M15_OOS.csv,0.1,8.3,83.0,-697.2,0.0,-697.2,8.3,8.3,-547.8
970,GBPUSD,SELL,2024-07-12 01:45:00+00:00,2024-07-12 09:01:40+00:00,1.29149,1.29168,-2.4,-2.4,3.13.113,DEMO,OOS,0.0,0.1,0.1,DEMO_ACCOUNT,0.1,C:\Users\Leon\Desktop\QUANT\Data_Center\Data\2_Baseline\Trades\Backtest\DEMO_ACCOUNT\OOS\listOfTrades_GBPUSD_69_3.13.113_BUY_M15_OOS.csv,0.1,8.3,83.0,-199.2,0.0,-199.2,8.3,8.3,-747.0
972,GBPUSD,SELL,2024-07-15 05:45:00+00:00,2024-07-15 10:41:40+00:00,1.2969,1.2978,-9.5,-9.5,3.13.113,DEMO,OOS,0.0,0.1,0.1,DEMO_ACCOUNT,0.1,C:\Users\Leon\Desktop\QUANT\Data_Center\Data\2_Baseline\Trades\Backtest\DEMO_ACCOUNT\OOS\listOfTrades_GBPUSD_69_3.13.113_BUY_M15_OOS.csv,0.1,8.3,83.0,-788.5,0.0,-788.5,8.3,8.3,-1535.5
974,GBPUSD,SELL,2024-07-17 09:45:00+00:00,2024-07-17 23:45:00+00:00,1.29854,1.30096,-24.7,-24.7,3.13.113,DEMO,OOS,0.0,0.1,0.1,DEMO_ACCOUNT,0.1,C:\Users\Leon\Desktop\QUANT\Data_Center\Data\2_Baseline\Trades\Backtest\DEMO_ACCOUNT\OOS\listOfTrades_GBPUSD_69_3.13.113_BUY_M15_OOS.csv,0.1,8.3,83.0,-2050.1,0.0,-2050.1,8.3,8.3,-3585.6
976,GBPUSD,SELL,2024-07-18 08:30:00+00:00,2024-07-18 09:33:40+00:00,1.30058,1.29962,9.1,9.1,3.13.113,DEMO,OOS,0.0,0.1,0.1,DEMO_ACCOUNT,0.1,C:\Users\Leon\Desktop\QUANT\Data_Center\Data\2_Baseline\Trades\Backtest\DEMO_ACCOUNT\OOS\listOfTrades_GBPUSD_69_3.13.113_BUY_M15_OOS.csv,0.1,8.3,83.0,755.3,0.0,755.3,8.3,8.3,-2830.3
978,GBPUSD,SELL,2024-07-22 10:30:00+00:00,2024-07-22 13:36:40+00:00,1.29287,1.29362,-8.0,-8.0,3.13.113,DEMO,OOS,0.0,0.1,0.1,DEMO_ACCOUNT,0.1,C:\Users\Leon\Desktop\QUANT\Data_Center\Data\2_Baseline\Trades\Backtest\DEMO_ACCOUNT\OOS\listOfTrades_GBPUSD_69_3.13.113_BUY_M15_OOS.csv,0.1,8.3,83.0,-664.0,0.0,-664.0,8.3,8.3,-3494.3
980,GBPUSD,SELL,2024-07-24 08:45:00+00:00,2024-07-24 09:27:20+00:00,1.2894,1.28855,8.0,8.0,3.13.113,DEMO,OOS,0.0,0.1,0.1,DEMO_ACCOUNT,0.1,C:\Users\Leon\Desktop\QUANT\Data_Center\Data\2_Baseline\Trades\Backtest\DEMO_ACCOUNT\OOS\listOfTrades_GBPUSD_69_3.13.113_BUY_M15_OOS.csv,0.1,8.3,83.0,664.0,0.0,664.0,8.3,8.3,-2830.3
982,GBPUSD,SELL,2024-07-26 03:15:00+00:00,2024-07-26 10:28:40+00:00,1.2859,1.28676,-9.1,-9.1,3.13.113,DEMO,OOS,0.0,0.1,0.1,DEMO_ACCOUNT,0.1,C:\Users\Leon\Desktop\QUANT\Data_Center\Data\2_Baseline\Trades\Backtest\DEMO_ACCOUNT\OOS\listOfTrades_GBPUSD_69_3.13.113_BUY_M15_OOS.csv,0.1,8.3,83.0,-755.3,0.0,-755.3,8.3,8.3,-3585.6000000000004
984,GBPUSD,SELL,2024-07-29 03:45:00+00:00,2024-07-29 09:42:40+00:00,1.28786,1.28663,11.8,11.8,3.13.113,DEMO,OOS,0.0,0.1,0.1,DEMO_ACCOUNT,0.1,C:\Users\Leon\Desktop\QUANT\Data_Center\Data\2_Baseline\Trades\Backtest\DEMO_ACCOUNT\OOS\listOfTrades_GBPUSD_69_3.13.113_BUY_M15_OOS.csv,0.1,8.3,83.0,979.4000000000001,0.0,979.4000000000001,8.3,8.3,-2606.2000000000003
986,GBPUSD,SELL,2024-07-30 07:15:30+00:00,2024-07-30 08:53:40+00:00,1.28571,1.28479,8.7,8.7,3.13.113,DEMO,OOS,0.0,0.1,0.1,DEMO_ACCOUNT,0.1,C:\Users\Leon\Desktop\QUANT\Data_Center\Data\2_Baseline\Trades\Backtest\DEMO_ACCOUNT\OOS\listOfTrades_GBPUSD_69_3.13.113_BUY_M15_OOS.csv,0.1,8.3,83.0,722.0999999999999,0.0,722.0999999999999,8.3,8.3,-1884.1000000000004
